Region,Date,CaseCount,WHORegion
Afghanistan,1/22/20,0,EasternMediterranean
Albania,1/22/20,0,Europe
Algeria,1/22/20,0,Africa
Andorra,1/22/20,0,Europe
Angola,1/22/20,0,Africa
Antigua and Barbuda,1/22/20,0,Americas
Argentina,1/22/20,0,Americas
Armenia,1/22/20,0,Europe
Australia,1/22/20,0,WesternPacific
Australia,1/22/20,0,WesternPacific
Australia,1/22/20,0,WesternPacific
Australia,1/22/20,0,WesternPacific
Australia,1/22/20,0,WesternPacific
Australia,1/22/20,0,WesternPacific
Australia,1/22/20,0,WesternPacific
Australia,1/22/20,0,WesternPacific
Austria,1/22/20,0,Europe
Azerbaijan,1/22/20,0,Europe
Bahamas,1/22/20,0,Americas
Bahrain,1/22/20,0,EasternMediterranean
Bangladesh,1/22/20,0,Asia
Barbados,1/22/20,0,Americas
Belarus,1/22/20,0,Europe
Belgium,1/22/20,0,Europe
Benin,1/22/20,0,Africa
Bhutan,1/22/20,0,Asia
Bolivia,1/22/20,0,Americas
Bosnia and Herzegovina,1/22/20,0,Europe
Brazil,1/22/20,0,Americas
Brunei,1/22/20,0,WesternPacific
Bulgaria,1/22/20,0,Europe
Burkina Faso,1/22/20,0,Africa
Cabo Verde,1/22/20,0,Africa
Cambodia,1/22/20,0,WesternPacific
Cameroon,1/22/20,0,Africa
Canada,1/22/20,0,Americas
Canada,1/22/20,0,Americas
Canada,1/22/20,0,Americas
Canada,1/22/20,0,Americas
Canada,1/22/20,0,Americas
Canada,1/22/20,0,Americas
Canada,1/22/20,0,Americas
Canada,1/22/20,0,Americas
Canada,1/22/20,0,Americas
Canada,1/22/20,0,Americas
Central African Republic,1/22/20,0,Africa
Chad,1/22/20,0,Africa
Chile,1/22/20,0,Americas
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,17,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
China,1/22/20,0,WesternPacific
Colombia,1/22/20,0,Americas
Congo (Brazzaville),1/22/20,0,Africa
Congo (Kinshasa),1/22/20,0,Africa
Costa Rica,1/22/20,0,Americas
Cote d'Ivoire,1/22/20,0,Africa
Croatia,1/22/20,0,Europe
Cuba,1/22/20,0,Americas
Cyprus,1/22/20,0,Europe
Czechia,1/22/20,0,Europe
Denmark,1/22/20,0,Europe
Greenland,1/22/20,0,Europe
Denmark,1/22/20,0,Europe
Djibouti,1/22/20,0,EasternMediterranean
Dominican Republic,1/22/20,0,Americas
Ecuador,1/22/20,0,Americas
Egypt,1/22/20,0,EasternMediterranean
El Salvador,1/22/20,0,Americas
Equatorial Guinea,1/22/20,0,Africa
Eritrea,1/22/20,0,Africa
Estonia,1/22/20,0,Europe
Eswatini,1/22/20,0,Africa
Ethiopia,1/22/20,0,Africa
Fiji,1/22/20,0,WesternPacific
Finland,1/22/20,0,Europe
France,1/22/20,0,Europe
France,1/22/20,0,Europe
France,1/22/20,0,Europe
France,1/22/20,0,Europe
France,1/22/20,0,Europe
France,1/22/20,0,Europe
France,1/22/20,0,Europe
France,1/22/20,0,Europe
France,1/22/20,0,Europe
France,1/22/20,0,Europe
Gabon,1/22/20,0,Africa
Gambia,1/22/20,0,Africa
Georgia,1/22/20,0,Europe
Germany,1/22/20,0,Europe
Ghana,1/22/20,0,Africa
Greece,1/22/20,0,Europe
Guatemala,1/22/20,0,Americas
Guinea,1/22/20,0,Africa
Guyana,1/22/20,0,Americas
Haiti,1/22/20,0,Americas
Holy See,1/22/20,0,Europe
Honduras,1/22/20,0,Americas
Hungary,1/22/20,0,Europe
Iceland,1/22/20,0,Europe
India,1/22/20,0,Asia
Indonesia,1/22/20,0,Asia
Iran,1/22/20,0,EasternMediterranean
Iraq,1/22/20,0,EasternMediterranean
Ireland,1/22/20,0,Europe
Israel,1/22/20,0,Europe
Italy,1/22/20,0,Europe
Jamaica,1/22/20,0,Americas
Japan,1/22/20,0,WesternPacific
Jordan,1/22/20,0,EasternMediterranean
Kazakhstan,1/22/20,0,Europe
Kenya,1/22/20,0,Africa
South Korea,1/22/20,0,WesternPacific
Kuwait,1/22/20,0,EasternMediterranean
Kyrgyzstan,1/22/20,0,Europe
Latvia,1/22/20,0,Europe
Lebanon,1/22/20,0,EasternMediterranean
Liberia,1/22/20,0,Africa
Liechtenstein,1/22/20,0,Europe
Lithuania,1/22/20,0,Europe
Luxembourg,1/22/20,0,Europe
Madagascar,1/22/20,0,Africa
Malaysia,1/22/20,0,WesternPacific
Maldives,1/22/20,0,Asia
Malta,1/22/20,0,Europe
Mauritania,1/22/20,0,Africa
Mauritius,1/22/20,0,Africa
Mexico,1/22/20,0,Americas
Moldova,1/22/20,0,Europe
Monaco,1/22/20,0,Europe
Mongolia,1/22/20,0,WesternPacific
Montenegro,1/22/20,0,Europe
Morocco,1/22/20,0,EasternMediterranean
Namibia,1/22/20,0,Africa
Nepal,1/22/20,0,Asia
Netherlands,1/22/20,0,Europe
Netherlands,1/22/20,0,Europe
Netherlands,1/22/20,0,Europe
Netherlands,1/22/20,0,Europe
New Zealand,1/22/20,0,WesternPacific
Nicaragua,1/22/20,0,Americas
Niger,1/22/20,0,Africa
Nigeria,1/22/20,0,Africa
North Macedonia,1/22/20,0,Europe
Norway,1/22/20,0,Europe
Oman,1/22/20,0,EasternMediterranean
Pakistan,1/22/20,0,EasternMediterranean
Panama,1/22/20,0,Americas
Papua New Guinea,1/22/20,0,WesternPacific
Paraguay,1/22/20,0,Americas
Peru,1/22/20,0,Americas
Philippines,1/22/20,0,WesternPacific
Poland,1/22/20,0,Europe
Portugal,1/22/20,0,Europe
Qatar,1/22/20,0,EasternMediterranean
Romania,1/22/20,0,Europe
Russia,1/22/20,0,Europe
Rwanda,1/22/20,0,Africa
Saint Lucia,1/22/20,0,Americas
Saint Vincent and the Grenadines,1/22/20,0,Americas
San Marino,1/22/20,0,Europe
Saudi Arabia,1/22/20,0,EasternMediterranean
Senegal,1/22/20,0,Africa
Serbia,1/22/20,0,Europe
Seychelles,1/22/20,0,Africa
Singapore,1/22/20,0,WesternPacific
Slovakia,1/22/20,0,Europe
Slovenia,1/22/20,0,Europe
Somalia,1/22/20,0,EasternMediterranean
South Africa,1/22/20,0,Africa
Spain,1/22/20,0,Europe
Sri Lanka,1/22/20,0,Asia
Sudan,1/22/20,0,EasternMediterranean
Suriname,1/22/20,0,Americas
Sweden,1/22/20,0,Europe
Switzerland,1/22/20,0,Europe
Taiwan*,1/22/20,0,WesternPacific
Tanzania,1/22/20,0,Africa
Thailand,1/22/20,0,Asia
Togo,1/22/20,0,Africa
Trinidad and Tobago,1/22/20,0,Americas
Tunisia,1/22/20,0,EasternMediterranean
Turkey,1/22/20,0,Europe
Uganda,1/22/20,0,Africa
Ukraine,1/22/20,0,Europe
United Arab Emirates,1/22/20,0,EasternMediterranean
United Kingdom,1/22/20,0,Europe
United Kingdom,1/22/20,0,Europe
United Kingdom,1/22/20,0,Europe
United Kingdom,1/22/20,0,Europe
United Kingdom,1/22/20,0,Europe
United Kingdom,1/22/20,0,Europe
United Kingdom,1/22/20,0,Europe
Uruguay,1/22/20,0,Americas
US,1/22/20,0,Americas
Uzbekistan,1/22/20,0,Europe
Venezuela,1/22/20,0,Americas
Vietnam,1/22/20,0,WesternPacific
Zambia,1/22/20,0,Africa
Zimbabwe,1/22/20,0,Africa
Dominica,1/22/20,0,Americas
Grenada,1/22/20,0,Americas
Mozambique,1/22/20,0,Africa
Syria,1/22/20,0,EasternMediterranean
Timor-Leste,1/22/20,0,Asia
Belize,1/22/20,0,Americas
Laos,1/22/20,0,WesternPacific
Libya,1/22/20,0,EasternMediterranean
West Bank and Gaza,1/22/20,0,EasternMediterranean
Guinea-Bissau,1/22/20,0,Africa
Mali,1/22/20,0,Africa
Saint Kitts and Nevis,1/22/20,0,Americas
Canada,1/22/20,0,Americas
Canada,1/22/20,0,Americas
Kosovo,1/22/20,0,Europe
Burma,1/22/20,0,Asia
United Kingdom,1/22/20,0,Europe
United Kingdom,1/22/20,0,Europe
United Kingdom,1/22/20,0,Europe
Botswana,1/22/20,0,Africa
Burundi,1/22/20,0,Africa
Sierra Leone,1/22/20,0,Africa
Malawi,1/22/20,0,Africa
United Kingdom,1/22/20,0,Europe
France,1/22/20,0,Europe
South Sudan,1/22/20,0,Africa
Western Sahara,1/22/20,0,Africa
Sao Tome and Principe,1/22/20,0,Africa
Yemen,1/22/20,0,EasternMediterranean
Comoros,1/22/20,0,Africa
Tajikistan,1/22/20,0,Europe
Lesotho,1/22/20,0,Africa
Afghanistan,1/23/20,0,EasternMediterranean
Albania,1/23/20,0,Europe
Algeria,1/23/20,0,Africa
Andorra,1/23/20,0,Europe
Angola,1/23/20,0,Africa
Antigua and Barbuda,1/23/20,0,Americas
Argentina,1/23/20,0,Americas
Armenia,1/23/20,0,Europe
Australia,1/23/20,0,WesternPacific
Australia,1/23/20,0,WesternPacific
Australia,1/23/20,0,WesternPacific
Australia,1/23/20,0,WesternPacific
Australia,1/23/20,0,WesternPacific
Australia,1/23/20,0,WesternPacific
Australia,1/23/20,0,WesternPacific
Australia,1/23/20,0,WesternPacific
Austria,1/23/20,0,Europe
Azerbaijan,1/23/20,0,Europe
Bahamas,1/23/20,0,Americas
Bahrain,1/23/20,0,EasternMediterranean
Bangladesh,1/23/20,0,Asia
Barbados,1/23/20,0,Americas
Belarus,1/23/20,0,Europe
Belgium,1/23/20,0,Europe
Benin,1/23/20,0,Africa
Bhutan,1/23/20,0,Asia
Bolivia,1/23/20,0,Americas
Bosnia and Herzegovina,1/23/20,0,Europe
Brazil,1/23/20,0,Americas
Brunei,1/23/20,0,WesternPacific
Bulgaria,1/23/20,0,Europe
Burkina Faso,1/23/20,0,Africa
Cabo Verde,1/23/20,0,Africa
Cambodia,1/23/20,0,WesternPacific
Cameroon,1/23/20,0,Africa
Canada,1/23/20,0,Americas
Canada,1/23/20,0,Americas
Canada,1/23/20,0,Americas
Canada,1/23/20,0,Americas
Canada,1/23/20,0,Americas
Canada,1/23/20,0,Americas
Canada,1/23/20,0,Americas
Canada,1/23/20,0,Americas
Canada,1/23/20,0,Americas
Canada,1/23/20,0,Americas
Central African Republic,1/23/20,0,Africa
Chad,1/23/20,0,Africa
Chile,1/23/20,0,Americas
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,1,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,17,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
China,1/23/20,0,WesternPacific
Colombia,1/23/20,0,Americas
Congo (Brazzaville),1/23/20,0,Africa
Congo (Kinshasa),1/23/20,0,Africa
Costa Rica,1/23/20,0,Americas
Cote d'Ivoire,1/23/20,0,Africa
Croatia,1/23/20,0,Europe
Cuba,1/23/20,0,Americas
Cyprus,1/23/20,0,Europe
Czechia,1/23/20,0,Europe
Denmark,1/23/20,0,Europe
Greenland,1/23/20,0,Europe
Denmark,1/23/20,0,Europe
Djibouti,1/23/20,0,EasternMediterranean
Dominican Republic,1/23/20,0,Americas
Ecuador,1/23/20,0,Americas
Egypt,1/23/20,0,EasternMediterranean
El Salvador,1/23/20,0,Americas
Equatorial Guinea,1/23/20,0,Africa
Eritrea,1/23/20,0,Africa
Estonia,1/23/20,0,Europe
Eswatini,1/23/20,0,Africa
Ethiopia,1/23/20,0,Africa
Fiji,1/23/20,0,WesternPacific
Finland,1/23/20,0,Europe
France,1/23/20,0,Europe
France,1/23/20,0,Europe
France,1/23/20,0,Europe
France,1/23/20,0,Europe
France,1/23/20,0,Europe
France,1/23/20,0,Europe
France,1/23/20,0,Europe
France,1/23/20,0,Europe
France,1/23/20,0,Europe
France,1/23/20,0,Europe
Gabon,1/23/20,0,Africa
Gambia,1/23/20,0,Africa
Georgia,1/23/20,0,Europe
Germany,1/23/20,0,Europe
Ghana,1/23/20,0,Africa
Greece,1/23/20,0,Europe
Guatemala,1/23/20,0,Americas
Guinea,1/23/20,0,Africa
Guyana,1/23/20,0,Americas
Haiti,1/23/20,0,Americas
Holy See,1/23/20,0,Europe
Honduras,1/23/20,0,Americas
Hungary,1/23/20,0,Europe
Iceland,1/23/20,0,Europe
India,1/23/20,0,Asia
Indonesia,1/23/20,0,Asia
Iran,1/23/20,0,EasternMediterranean
Iraq,1/23/20,0,EasternMediterranean
Ireland,1/23/20,0,Europe
Israel,1/23/20,0,Europe
Italy,1/23/20,0,Europe
Jamaica,1/23/20,0,Americas
Japan,1/23/20,0,WesternPacific
Jordan,1/23/20,0,EasternMediterranean
Kazakhstan,1/23/20,0,Europe
Kenya,1/23/20,0,Africa
South Korea,1/23/20,0,WesternPacific
Kuwait,1/23/20,0,EasternMediterranean
Kyrgyzstan,1/23/20,0,Europe
Latvia,1/23/20,0,Europe
Lebanon,1/23/20,0,EasternMediterranean
Liberia,1/23/20,0,Africa
Liechtenstein,1/23/20,0,Europe
Lithuania,1/23/20,0,Europe
Luxembourg,1/23/20,0,Europe
Madagascar,1/23/20,0,Africa
Malaysia,1/23/20,0,WesternPacific
Maldives,1/23/20,0,Asia
Malta,1/23/20,0,Europe
Mauritania,1/23/20,0,Africa
Mauritius,1/23/20,0,Africa
Mexico,1/23/20,0,Americas
Moldova,1/23/20,0,Europe
Monaco,1/23/20,0,Europe
Mongolia,1/23/20,0,WesternPacific
Montenegro,1/23/20,0,Europe
Morocco,1/23/20,0,EasternMediterranean
Namibia,1/23/20,0,Africa
Nepal,1/23/20,0,Asia
Netherlands,1/23/20,0,Europe
Netherlands,1/23/20,0,Europe
Netherlands,1/23/20,0,Europe
Netherlands,1/23/20,0,Europe
New Zealand,1/23/20,0,WesternPacific
Nicaragua,1/23/20,0,Americas
Niger,1/23/20,0,Africa
Nigeria,1/23/20,0,Africa
North Macedonia,1/23/20,0,Europe
Norway,1/23/20,0,Europe
Oman,1/23/20,0,EasternMediterranean
Pakistan,1/23/20,0,EasternMediterranean
Panama,1/23/20,0,Americas
Papua New Guinea,1/23/20,0,WesternPacific
Paraguay,1/23/20,0,Americas
Peru,1/23/20,0,Americas
Philippines,1/23/20,0,WesternPacific
Poland,1/23/20,0,Europe
Portugal,1/23/20,0,Europe
Qatar,1/23/20,0,EasternMediterranean
Romania,1/23/20,0,Europe
Russia,1/23/20,0,Europe
Rwanda,1/23/20,0,Africa
Saint Lucia,1/23/20,0,Americas
Saint Vincent and the Grenadines,1/23/20,0,Americas
San Marino,1/23/20,0,Europe
Saudi Arabia,1/23/20,0,EasternMediterranean
Senegal,1/23/20,0,Africa
Serbia,1/23/20,0,Europe
Seychelles,1/23/20,0,Africa
Singapore,1/23/20,0,WesternPacific
Slovakia,1/23/20,0,Europe
Slovenia,1/23/20,0,Europe
Somalia,1/23/20,0,EasternMediterranean
South Africa,1/23/20,0,Africa
Spain,1/23/20,0,Europe
Sri Lanka,1/23/20,0,Asia
Sudan,1/23/20,0,EasternMediterranean
Suriname,1/23/20,0,Americas
Sweden,1/23/20,0,Europe
Switzerland,1/23/20,0,Europe
Taiwan*,1/23/20,0,WesternPacific
Tanzania,1/23/20,0,Africa
Thailand,1/23/20,0,Asia
Togo,1/23/20,0,Africa
Trinidad and Tobago,1/23/20,0,Americas
Tunisia,1/23/20,0,EasternMediterranean
Turkey,1/23/20,0,Europe
Uganda,1/23/20,0,Africa
Ukraine,1/23/20,0,Europe
United Arab Emirates,1/23/20,0,EasternMediterranean
United Kingdom,1/23/20,0,Europe
United Kingdom,1/23/20,0,Europe
United Kingdom,1/23/20,0,Europe
United Kingdom,1/23/20,0,Europe
United Kingdom,1/23/20,0,Europe
United Kingdom,1/23/20,0,Europe
United Kingdom,1/23/20,0,Europe
Uruguay,1/23/20,0,Americas
US,1/23/20,0,Americas
Uzbekistan,1/23/20,0,Europe
Venezuela,1/23/20,0,Americas
Vietnam,1/23/20,0,WesternPacific
Zambia,1/23/20,0,Africa
Zimbabwe,1/23/20,0,Africa
Dominica,1/23/20,0,Americas
Grenada,1/23/20,0,Americas
Mozambique,1/23/20,0,Africa
Syria,1/23/20,0,EasternMediterranean
Timor-Leste,1/23/20,0,Asia
Belize,1/23/20,0,Americas
Laos,1/23/20,0,WesternPacific
Libya,1/23/20,0,EasternMediterranean
West Bank and Gaza,1/23/20,0,EasternMediterranean
Guinea-Bissau,1/23/20,0,Africa
Mali,1/23/20,0,Africa
Saint Kitts and Nevis,1/23/20,0,Americas
Canada,1/23/20,0,Americas
Canada,1/23/20,0,Americas
Kosovo,1/23/20,0,Europe
Burma,1/23/20,0,Asia
United Kingdom,1/23/20,0,Europe
United Kingdom,1/23/20,0,Europe
United Kingdom,1/23/20,0,Europe
Botswana,1/23/20,0,Africa
Burundi,1/23/20,0,Africa
Sierra Leone,1/23/20,0,Africa
Malawi,1/23/20,0,Africa
United Kingdom,1/23/20,0,Europe
France,1/23/20,0,Europe
South Sudan,1/23/20,0,Africa
Western Sahara,1/23/20,0,Africa
Sao Tome and Principe,1/23/20,0,Africa
Yemen,1/23/20,0,EasternMediterranean
Comoros,1/23/20,0,Africa
Tajikistan,1/23/20,0,Europe
Lesotho,1/23/20,0,Africa
Afghanistan,1/24/20,0,EasternMediterranean
Albania,1/24/20,0,Europe
Algeria,1/24/20,0,Africa
Andorra,1/24/20,0,Europe
Angola,1/24/20,0,Africa
Antigua and Barbuda,1/24/20,0,Americas
Argentina,1/24/20,0,Americas
Armenia,1/24/20,0,Europe
Australia,1/24/20,0,WesternPacific
Australia,1/24/20,0,WesternPacific
Australia,1/24/20,0,WesternPacific
Australia,1/24/20,0,WesternPacific
Australia,1/24/20,0,WesternPacific
Australia,1/24/20,0,WesternPacific
Australia,1/24/20,0,WesternPacific
Australia,1/24/20,0,WesternPacific
Austria,1/24/20,0,Europe
Azerbaijan,1/24/20,0,Europe
Bahamas,1/24/20,0,Americas
Bahrain,1/24/20,0,EasternMediterranean
Bangladesh,1/24/20,0,Asia
Barbados,1/24/20,0,Americas
Belarus,1/24/20,0,Europe
Belgium,1/24/20,0,Europe
Benin,1/24/20,0,Africa
Bhutan,1/24/20,0,Asia
Bolivia,1/24/20,0,Americas
Bosnia and Herzegovina,1/24/20,0,Europe
Brazil,1/24/20,0,Americas
Brunei,1/24/20,0,WesternPacific
Bulgaria,1/24/20,0,Europe
Burkina Faso,1/24/20,0,Africa
Cabo Verde,1/24/20,0,Africa
Cambodia,1/24/20,0,WesternPacific
Cameroon,1/24/20,0,Africa
Canada,1/24/20,0,Americas
Canada,1/24/20,0,Americas
Canada,1/24/20,0,Americas
Canada,1/24/20,0,Americas
Canada,1/24/20,0,Americas
Canada,1/24/20,0,Americas
Canada,1/24/20,0,Americas
Canada,1/24/20,0,Americas
Canada,1/24/20,0,Americas
Canada,1/24/20,0,Americas
Central African Republic,1/24/20,0,Africa
Chad,1/24/20,0,Africa
Chile,1/24/20,0,Americas
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,1,WesternPacific
China,1/24/20,1,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,24,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
China,1/24/20,0,WesternPacific
Colombia,1/24/20,0,Americas
Congo (Brazzaville),1/24/20,0,Africa
Congo (Kinshasa),1/24/20,0,Africa
Costa Rica,1/24/20,0,Americas
Cote d'Ivoire,1/24/20,0,Africa
Croatia,1/24/20,0,Europe
Cuba,1/24/20,0,Americas
Cyprus,1/24/20,0,Europe
Czechia,1/24/20,0,Europe
Denmark,1/24/20,0,Europe
Greenland,1/24/20,0,Europe
Denmark,1/24/20,0,Europe
Djibouti,1/24/20,0,EasternMediterranean
Dominican Republic,1/24/20,0,Americas
Ecuador,1/24/20,0,Americas
Egypt,1/24/20,0,EasternMediterranean
El Salvador,1/24/20,0,Americas
Equatorial Guinea,1/24/20,0,Africa
Eritrea,1/24/20,0,Africa
Estonia,1/24/20,0,Europe
Eswatini,1/24/20,0,Africa
Ethiopia,1/24/20,0,Africa
Fiji,1/24/20,0,WesternPacific
Finland,1/24/20,0,Europe
France,1/24/20,0,Europe
France,1/24/20,0,Europe
France,1/24/20,0,Europe
France,1/24/20,0,Europe
France,1/24/20,0,Europe
France,1/24/20,0,Europe
France,1/24/20,0,Europe
France,1/24/20,0,Europe
France,1/24/20,0,Europe
France,1/24/20,0,Europe
Gabon,1/24/20,0,Africa
Gambia,1/24/20,0,Africa
Georgia,1/24/20,0,Europe
Germany,1/24/20,0,Europe
Ghana,1/24/20,0,Africa
Greece,1/24/20,0,Europe
Guatemala,1/24/20,0,Americas
Guinea,1/24/20,0,Africa
Guyana,1/24/20,0,Americas
Haiti,1/24/20,0,Americas
Holy See,1/24/20,0,Europe
Honduras,1/24/20,0,Americas
Hungary,1/24/20,0,Europe
Iceland,1/24/20,0,Europe
India,1/24/20,0,Asia
Indonesia,1/24/20,0,Asia
Iran,1/24/20,0,EasternMediterranean
Iraq,1/24/20,0,EasternMediterranean
Ireland,1/24/20,0,Europe
Israel,1/24/20,0,Europe
Italy,1/24/20,0,Europe
Jamaica,1/24/20,0,Americas
Japan,1/24/20,0,WesternPacific
Jordan,1/24/20,0,EasternMediterranean
Kazakhstan,1/24/20,0,Europe
Kenya,1/24/20,0,Africa
South Korea,1/24/20,0,WesternPacific
Kuwait,1/24/20,0,EasternMediterranean
Kyrgyzstan,1/24/20,0,Europe
Latvia,1/24/20,0,Europe
Lebanon,1/24/20,0,EasternMediterranean
Liberia,1/24/20,0,Africa
Liechtenstein,1/24/20,0,Europe
Lithuania,1/24/20,0,Europe
Luxembourg,1/24/20,0,Europe
Madagascar,1/24/20,0,Africa
Malaysia,1/24/20,0,WesternPacific
Maldives,1/24/20,0,Asia
Malta,1/24/20,0,Europe
Mauritania,1/24/20,0,Africa
Mauritius,1/24/20,0,Africa
Mexico,1/24/20,0,Americas
Moldova,1/24/20,0,Europe
Monaco,1/24/20,0,Europe
Mongolia,1/24/20,0,WesternPacific
Montenegro,1/24/20,0,Europe
Morocco,1/24/20,0,EasternMediterranean
Namibia,1/24/20,0,Africa
Nepal,1/24/20,0,Asia
Netherlands,1/24/20,0,Europe
Netherlands,1/24/20,0,Europe
Netherlands,1/24/20,0,Europe
Netherlands,1/24/20,0,Europe
New Zealand,1/24/20,0,WesternPacific
Nicaragua,1/24/20,0,Americas
Niger,1/24/20,0,Africa
Nigeria,1/24/20,0,Africa
North Macedonia,1/24/20,0,Europe
Norway,1/24/20,0,Europe
Oman,1/24/20,0,EasternMediterranean
Pakistan,1/24/20,0,EasternMediterranean
Panama,1/24/20,0,Americas
Papua New Guinea,1/24/20,0,WesternPacific
Paraguay,1/24/20,0,Americas
Peru,1/24/20,0,Americas
Philippines,1/24/20,0,WesternPacific
Poland,1/24/20,0,Europe
Portugal,1/24/20,0,Europe
Qatar,1/24/20,0,EasternMediterranean
Romania,1/24/20,0,Europe
Russia,1/24/20,0,Europe
Rwanda,1/24/20,0,Africa
Saint Lucia,1/24/20,0,Americas
Saint Vincent and the Grenadines,1/24/20,0,Americas
San Marino,1/24/20,0,Europe
Saudi Arabia,1/24/20,0,EasternMediterranean
Senegal,1/24/20,0,Africa
Serbia,1/24/20,0,Europe
Seychelles,1/24/20,0,Africa
Singapore,1/24/20,0,WesternPacific
Slovakia,1/24/20,0,Europe
Slovenia,1/24/20,0,Europe
Somalia,1/24/20,0,EasternMediterranean
South Africa,1/24/20,0,Africa
Spain,1/24/20,0,Europe
Sri Lanka,1/24/20,0,Asia
Sudan,1/24/20,0,EasternMediterranean
Suriname,1/24/20,0,Americas
Sweden,1/24/20,0,Europe
Switzerland,1/24/20,0,Europe
Taiwan*,1/24/20,0,WesternPacific
Tanzania,1/24/20,0,Africa
Thailand,1/24/20,0,Asia
Togo,1/24/20,0,Africa
Trinidad and Tobago,1/24/20,0,Americas
Tunisia,1/24/20,0,EasternMediterranean
Turkey,1/24/20,0,Europe
Uganda,1/24/20,0,Africa
Ukraine,1/24/20,0,Europe
United Arab Emirates,1/24/20,0,EasternMediterranean
United Kingdom,1/24/20,0,Europe
United Kingdom,1/24/20,0,Europe
United Kingdom,1/24/20,0,Europe
United Kingdom,1/24/20,0,Europe
United Kingdom,1/24/20,0,Europe
United Kingdom,1/24/20,0,Europe
United Kingdom,1/24/20,0,Europe
Uruguay,1/24/20,0,Americas
US,1/24/20,0,Americas
Uzbekistan,1/24/20,0,Europe
Venezuela,1/24/20,0,Americas
Vietnam,1/24/20,0,WesternPacific
Zambia,1/24/20,0,Africa
Zimbabwe,1/24/20,0,Africa
Dominica,1/24/20,0,Americas
Grenada,1/24/20,0,Americas
Mozambique,1/24/20,0,Africa
Syria,1/24/20,0,EasternMediterranean
Timor-Leste,1/24/20,0,Asia
Belize,1/24/20,0,Americas
Laos,1/24/20,0,WesternPacific
Libya,1/24/20,0,EasternMediterranean
West Bank and Gaza,1/24/20,0,EasternMediterranean
Guinea-Bissau,1/24/20,0,Africa
Mali,1/24/20,0,Africa
Saint Kitts and Nevis,1/24/20,0,Americas
Canada,1/24/20,0,Americas
Canada,1/24/20,0,Americas
Kosovo,1/24/20,0,Europe
Burma,1/24/20,0,Asia
United Kingdom,1/24/20,0,Europe
United Kingdom,1/24/20,0,Europe
